LOCATION,Country,INDICATOR,Indicator,MEASURE,Measure,INEQUALITY,Inequality,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags,Entity,Code,Year,GDP per capita (USD)
AUS,Australia,WL_TNOW,Time devoted to leisure and personal care,L,Value,WMN,Women,HOUR,Hours,0,Units,,,14.33,,,Australia,AUS,2020,48697.8370282475
AUT,Austria,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,,,3.5,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,0,Units,,,4.2,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,0,Units,,,2.7,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,0,Units,,,2.67,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,0,Units,,,7.31,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,1.3,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,,,0.9,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,,,21.0,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,,,80.6,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,,,84.1,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,PS_FSAFEN,Feeling safe walking alone at night,L,Value,WMN,Women,PC,Percentage,0,Units,,,77.4,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,HO_NUMR,Rooms per person,L,Value,TOT,Total,RATIO,Ratio,0,Units,,,1.6,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,IW_HADI,Household net adjusted disposable income,L,Value,TOT,Total,USD,US Dollar,0,Units,,,33541.0,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,IW_HNFW,Household net wealth,L,Value,TOT,Total,USD,US Dollar,0,Units,,,308325.0,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,72.0,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,0,Units,,,76.0,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,0,Units,,,68.0,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,1.84,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,Units,,,1.99,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,Units,,,1.66,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,0,Units,,,50349.0,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,Units,,,92.0,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,SC_SNTWS,Quality of support network,L,Value,MN,Men,PC,Percentage,0,Units,,,92.0,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,SC_SNTWS,Quality of support network,L,Value,WMN,Women,PC,Percentage,0,Units,,,92.0,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,SC_SNTWS,Quality of support network,L,Value,HGH,High,PC,Percentage,0,Units,,,92.0,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,85.0,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,ES_EDUA,Educational attainment,L,Value,MN,Men,PC,Percentage,0,Units,,,88.0,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,ES_EDUA,Educational attainment,L,Value,WMN,Women,PC,Percentage,0,Units,,,82.0,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,492.0,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,496.0,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,488.0,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,541.0,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,ES_STCS,Student skills,L,Value,LW,Low,AVSCORE,Average score,0,Units,,,447.0,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,ES_EDUEX,Years in education,L,Value,TOT,Total,YR,Years,0,Units,,,17.0,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,ES_EDUEX,Years in education,L,Value,MN,Men,YR,Years,0,Units,,,16.7,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,ES_EDUEX,Years in education,L,Value,WMN,Women,YR,Years,0,Units,,,17.3,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,Units,,,16.0,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,92.0,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,EQ_WATER,Water quality,L,Value,MN,Men,PC,Percentage,0,Units,,,93.0,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,EQ_WATER,Water quality,L,Value,WMN,Women,PC,Percentage,0,Units,,,91.0,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,80.0,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,HS_LEB,Life expectancy,L,Value,TOT,Total,YR,Years,0,Units,,,81.7,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,HS_LEB,Life expectancy,L,Value,MN,Men,YR,Years,0,Units,,,79.3,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,HS_LEB,Life expectancy,L,Value,WMN,Women,YR,Years,0,Units,,,84.1,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,HS_SFRH,Self-reported health,L,Value,TOT,Total,PC,Percentage,0,Units,,,70.0,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,HS_SFRH,Self-reported health,L,Value,MN,Men,PC,Percentage,0,Units,,,72.0,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,HS_SFRH,Self-reported health,L,Value,WMN,Women,PC,Percentage,0,Units,,,69.0,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,HS_SFRH,Self-reported health,L,Value,HGH,High,PC,Percentage,0,Units,,,80.0,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,HS_SFRH,Self-reported health,L,Value,LW,Low,PC,Percentage,0,Units,,,62.0,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,7.1,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,7.1,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,7.1,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,7.6,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,PS_REPH,Homicide rate,L,Value,TOT,Total,RATIO,Ratio,0,Units,,,0.5,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,PS_REPH,Homicide rate,L,Value,MN,Men,RATIO,Ratio,0,Units,,,0.4,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,PS_REPH,Homicide rate,L,Value,WMN,Women,RATIO,Ratio,0,Units,,,0.5,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,6.66,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,WL_EWLH,Employees working very long hours,L,Value,MN,Men,PC,Percentage,0,Units,,,10.01,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,WL_EWLH,Employees working very long hours,L,Value,WMN,Women,PC,Percentage,0,Units,,,3.1,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,WL_TNOW,Time devoted to leisure and personal care,L,Value,TOT,Total,HOUR,Hours,0,Units,,,14.55,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,WL_TNOW,Time devoted to leisure and personal care,L,Value,MN,Men,HOUR,Hours,0,Units,,,14.72,,,Austria,AUT,2020,51935.6038618156
AUT,Austria,WL_TNOW,Time devoted to leisure and personal care,L,Value,WMN,Women,HOUR,Hours,0,Units,,,14.32,,,Austria,AUT,2020,51935.6038618156
BEL,Belgium,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,,,3.7,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,0,Units,,,4.7,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,0,Units,,,2.7,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,0,Units,,,2.19,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,0,Units,,,6.97,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,2.0,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,,,1.9,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,,,21.0,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,,,70.1,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,,,81.6,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,PS_FSAFEN,Feeling safe walking alone at night,L,Value,WMN,Women,PC,Percentage,0,Units,,,59.1,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,HO_NUMR,Rooms per person,L,Value,TOT,Total,RATIO,Ratio,0,Units,,,2.2,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,IW_HADI,Household net adjusted disposable income,L,Value,TOT,Total,USD,US Dollar,0,Units,,,30364.0,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,IW_HNFW,Household net wealth,L,Value,TOT,Total,USD,US Dollar,0,Units,,,386006.0,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,63.0,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,0,Units,,,68.0,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,0,Units,,,59.0,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,3.54,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,Units,,,3.71,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,Units,,,3.35,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,0,Units,,,49675.0,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,Units,,,91.0,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,SC_SNTWS,Quality of support network,L,Value,MN,Men,PC,Percentage,0,Units,,,92.0,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,SC_SNTWS,Quality of support network,L,Value,WMN,Women,PC,Percentage,0,Units,,,90.0,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,SC_SNTWS,Quality of support network,L,Value,HGH,High,PC,Percentage,0,Units,,,95.0,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,77.0,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,ES_EDUA,Educational attainment,L,Value,MN,Men,PC,Percentage,0,Units,,,76.0,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,ES_EDUA,Educational attainment,L,Value,WMN,Women,PC,Percentage,0,Units,,,78.0,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,503.0,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,504.0,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,501.0,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,559.0,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,ES_STCS,Student skills,L,Value,LW,Low,AVSCORE,Average score,0,Units,,,452.0,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,ES_EDUEX,Years in education,L,Value,TOT,Total,YR,Years,0,Units,,,19.3,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,ES_EDUEX,Years in education,L,Value,MN,Men,YR,Years,0,Units,,,18.6,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,ES_EDUEX,Years in education,L,Value,WMN,Women,YR,Years,0,Units,,,20.0,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,Units,,,15.0,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,84.0,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,EQ_WATER,Water quality,L,Value,MN,Men,PC,Percentage,0,Units,,,86.0,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,EQ_WATER,Water quality,L,Value,WMN,Women,PC,Percentage,0,Units,,,81.0,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,89.0,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,HS_LEB,Life expectancy,L,Value,TOT,Total,YR,Years,0,Units,,,81.5,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,HS_LEB,Life expectancy,L,Value,MN,Men,YR,Years,0,Units,,,79.0,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,HS_LEB,Life expectancy,L,Value,WMN,Women,YR,Years,0,Units,,,84.0,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,HS_SFRH,Self-reported health,L,Value,TOT,Total,PC,Percentage,0,Units,,,74.0,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,HS_SFRH,Self-reported health,L,Value,MN,Men,PC,Percentage,0,Units,,,77.0,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,HS_SFRH,Self-reported health,L,Value,WMN,Women,PC,Percentage,0,Units,,,71.0,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,HS_SFRH,Self-reported health,L,Value,HGH,High,PC,Percentage,0,Units,,,87.0,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,HS_SFRH,Self-reported health,L,Value,LW,Low,PC,Percentage,0,Units,,,59.0,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,6.9,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,6.9,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,6.9,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,7.3,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,PS_REPH,Homicide rate,L,Value,TOT,Total,RATIO,Ratio,0,Units,,,1.0,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,PS_REPH,Homicide rate,L,Value,MN,Men,RATIO,Ratio,0,Units,,,1.2,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,PS_REPH,Homicide rate,L,Value,WMN,Women,RATIO,Ratio,0,Units,,,0.9,,,Belgium,BEL,2020,48210.0331113444
BEL,Belgium,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,4.75,,,Belgium,BEL,2020,48210.0331113444
